registro,padre_irr,madre_irr,abuelo_paterno_irr,abuela_paterna_irr,abuelo_materno_irr,abuela_materna_irr,nombre,criadero
101354,0.0526315789473684,,0.0526315789473684,,0.08341907898532397,,CUEQUERO,EL PAÃUELITO
101441,0.30216935782078136,,,,,,CAMPERO,TRAMONTANA
101446,0.0526315789473684,,,,,,CHICO LINDO,SAN QUIRICO
101458,0.3082398619499568,,,,,,PRESUROSO,PUPETRA
101465,0.0526315789473684,,,,0.0526315789473684,,AGUAZAPADO,LAS BRISAS DE PUTAENDO
101469,0.1052631578947368,,,,0.12512861847798595,,RIO CLARO,SANTA ROSA DEL MELON
101485,0.21875530139067104,,0.343883919868657,,,,PINTOSO,EL BALLICAL DE CHEPICA
101491,0.19452551485193556,,,,0.269598175767287,,ENCACHAO,LAS ENCINAS DE CHEPICA
101492,0.1052631578947368,,,,,,KIHUAL,LAS ENCINAS DE CHEPICA
101510,0.0526315789473684,,,,0.0526315789473684,,BUENA MOZA,SELVA OSCURA
101530,0.0526315789473684,,,,0.08341907898532397,,CARIÃO MALO,CODEGUA
101532,0.46302961259974484,,0.1374645630469616,,2.6399636553942316,,AMANECER,EL GAUCHO
101544,0.9359811792045476,,0.269598175767287,,0.6564140522778373,,MINGACO,LA MANGA
101552,0.0526315789473684,,,,,,GUANAQUERO,RIHUE
101561,0.5149467560197679,,0.0526315789473684,,,,PILLASTRIN,RELBUNCO
101570,0.2930135594289249,,,,,,MANDANTE,RENOVALES
101593,0.0526315789473684,,,,0.4135030198446937,,COBRE NEGRO,QUIÃIGUO
101629,0.08341907898532397,,,,0.6991556760754344,,CAREGALLO,SAN LORENZO-BLANCO Y NEGRO
101674,0.0526315789473684,,,,,,CANELO,CAYURRANQUIL
101675,0.4210526315789473,,,,0.2427277209416985,,COIGUE,CAYURRANQUIL
101678,0.2234068778503636,,,,0.08341907898532397,,ALERCE,CAYURRANQUIL
101698,0.326451374337483,,,,,,NO ME TOQUES,LA MONTINA
101719,0.1643350178725502,,,,,,DESQUITE,SANTA CLEMENTINA
101745,0.1578947368421052,,,,0.4339331936398373,,CORPINCHO,NAHUELBUTA
101748,0.21875530139067104,,,,,,ARAUCANO,LOS MAITENES DE TAULEMU
101749,0.1052631578947368,,,,,,PEGUENCHE,LOS MAITENES DE TAULEMU
101757,0.44178068121122466,,0.08341907898532397,,,,ANIÃADO,BUEN RECUERDO
101763,0.4186406462717478,,,,0.1052631578947368,,MILLONARIO,MI AMIGO
101776,1.5523379379331597,,0.8559229445687008,,0.7346234438555405,,ORGULLOSO,LAS HORTENSIAS
101778,0.7798256176780558,,0.0526315789473684,,0.12512861847798595,,OFICIAL,LAS HORTENSIAS
101780,0.0590718599778133,,,,0.3063990585564579,,OROPEL,LAS HORTENSIAS
101814,0.1138501992686634,,0.0526315789473684,,0.8417935322205465,,ESTE ES MI TORO,LOS RUMBOS
101817,0.1052631578947368,,,,,,YUYO,LAS PALMAS DE QUILAMUTA
101820,0.0526315789473684,,,,0.0526315789473684,,LLANTEN,SANTA MARTA
101821,0.5656654336357563,,0.3603908646081226,,0.5377172439294958,,COLEGUAL,SANTA MARTA
101843,0.37945273018612097,,,,0.1052631578947368,,CORRALITO,EMBELECO
101848,0.12512861847798595,,0.0526315789473684,,1.1325861943635889,,FUSILERO,IDAHUE
101850,0.30217438037599503,,,,0.1052631578947368,,CAPACHO,RULOS DE IDAHUE
101889,0.3012952565927773,,0.0526315789473684,,,,FLOTADOR,AS DE ORO
101904,0.736171065933222,,,,0.44771820670870327,,PINCHAZO,AGUA DE LOS CAMPOS
101908,2.7541431003154546,,0.6890660491979362,,1.1150261860458568,,ALBERTIO,MAQUENA
101913,0.25420107646164586,,,,,,INOCENTE,PITRANCO
101927,0.605602120054234,,0.6028596080364846,,,,INSOLITO,CUCHA CUCHA
101946,0.14464439787994568,,,,0.3211204240108468,,INQUIETO,CURITORO
101951,0.2105263157894736,,0.3222297547146555,,0.13023242044166644,,CHAMBECO,LONCOPANGUE
101982,0.0526315789473684,,,,,,GAVILLERO,SANTA GEMITA
101987,0.08341907898532397,,0.0590718599778133,,0.2234068778503636,,REBUSCADO,TAITAO
101988,0.47709852179375395,,0.0590718599778133,,0.8041326970822841,,PAJARILLO,TAITAO II
101989,0.0526315789473684,,,,0.0526315789473684,,TAIMADITO,CERRO NEGRO
101994,1.1007829487133962,,0.6437054102992306,,1.5012217570156654,,CARIÃO PERDIDO,CASAS DEL MILAGRO
101995,0.3225895882307172,,,,0.0590718599778133,,REPUNTIAO,CASAS DEL MILAGRO
102004,0.0526315789473684,,,,,,REPARTO,SANTA CLAUDINA
102017,0.4969979787790733,,,,0.0526315789473684,,HURACAN,SANTA ZITA
102027,0.3774629782888132,,0.1181437199556267,,0.1052631578947368,,FESTIVAL,TRUTRUCA
102058,0.37037959558280625,,,,0.12512861847798595,,NI ME ACUERDO,SAN SEBASTIAN DE RARI
102061,0.0526315789473684,,,,,,DON VITORIO,CONTRABAJO
102074,0.13605065793269236,,,,0.2234068778503636,,PELERO,PICHANO
102084,0.885994122413969,,,,0.2169665968199186,,ANZUELO,ACULEO
102086,0.0526315789473684,,,,,,ANILLO,ACULEO
102088,0.28861061604751903,,0.6967896576885365,,0.4306940827052505,,ADOBE,ACULEO
102089,0.117034389251818,,0.0526315789473684,,0.0526315789473684,,ARADO,ACULEO
102103,0.0526315789473684,,,,,,AZAFATE,ACULEO
102115,0.16683815797064794,,,,,,CELESTIAL,ANGEL MARIA
102119,0.0526315789473684,,,,,,HUELEN,EL OTOÃO
102125,0.1052631578947368,,,,,,MAL RATO,EL GUINGANAL
102160,1.3488905112718745,,0.827864816402509,,0.12512861847798595,,CANDIDATO,SANTA CRUZ
102161,0.825536680303488,,,,0.9257862499881482,,TRENZADO,LOS ALPES
102163,0.291966776448634,,,,0.8225687168741526,,INSOLENTE,SANTA ESMERALDA
102165,0.5119561198077159,,,,,,SUPREMO I,SANTA ESMERALDA
102190,0.0526315789473684,,,,,,CASCABELITO,SAN LUIS DE AGUA BRAVA
102200,0.1052631578947368,,,,,,BOLERO,SANTA ISABEL DEL PRINCIPAL
102223,0.33296355643206366,,,,,,HUILCOCO,LAS VIOLETAS
102237,0.1052631578947368,,0.0526315789473684,,,,CLAVEL,CUEL LAS TOSCAS
102254,0.3276933901943978,,,,,,MAICERO,EL OLIVAR BAJO
102270,2.230431388223042,,1.8647622186018804,,1.9738381262108613,,ESCORIAL,SANTA ISABEL
102271,1.6400308494093887,,1.6475284026610648,,1.1281100878660353,,ESFUERZO,SANTA ISABEL
102272,3.0684264412999767,,2.194454260018675,,2.955749131802179,,ESTOQUE,SANTA ISABEL
102273,0.7417710068107076,,0.6733548843591178,,0.8652419487670924,,ESPINO,SANTA ISABEL
102274,2.2562937517665116,,1.6731145695706016,,1.9228225742263827,,ESLABON,SANTA ISABEL
102276,0.5205000048150784,,1.3698151657291309,,0.08341907898532397,,OCASO,SANTA ISABEL
102279,0.3222297547146555,,,,0.5380870208307654,,ODIOSO,SANTA ISABEL
102280,1.7406584365680284,,1.3120478205792454,,3.061019953419413,,ESTERO,SANTA ISABEL
102281,0.8674758827994866,,0.9270697390198887,,0.4783410184907864,,ESCANDALO,SANTA ISABEL
102282,0.0590718599778133,,,,,,FUGITIVO,SANTA ISABEL
102283,1.5673554219007881,,1.9370786396205084,,0.9137462715261282,,ESTRUENDO,SANTA ISABEL
102285,2.4775797522942757,,2.3546187094412963,,2.0169346680413245,,ESTALLIDO,SANTA ISABEL
102287,2.298783531435643,,0.7869713934363424,,,,ESCABROSO,SANTA ISABEL
102288,2.6301410557829343,,,,,,RIO MAIPO,SANTA ISABEL
102289,2.301585056856673,,0.35591425630846385,,0.881342658262137,,REGOCIJO,SANTA ISABEL
102292,5.6988127281319425,,3.864843959682444,,2.038115804987426,,ESPEJO,SANTA ISABEL
102306,0.1567854061382965,,,,,,HECHICERO,LO MIRANDA
102308,0.655239799230812,,0.0526315789473684,,1.5375256172393306,,PEOR ES NA,CAMPIÃA
102351,0.12512861847798595,,0.0526315789473684,,1.9731022938693357,,DON ISMAO,AUQUINO
102360,0.2169665968199186,,,,,,REBAÃO,LOS 3 ALAMOS
102367,0.4381856280044372,,,,1.0789884547434159,,CARIÃOSO,RETORNO
102375,0.0526315789473684,,,,0.4457044249969185,,CICLON,PICHILEMU
102382,0.12512861847798595,,1.7588682117832866,,,,CHAMACO,LA FRONTERA
102384,0.7760795431200952,,,,,,VESPERTINO,QUILMAY
102400,0.1052631578947368,,0.3157894736842105,,,,TRANQUERITO IV,EL TRANQUE
102402,0.0526315789473684,,,,0.8685879263101006,,PENACHO,LAS CHOICAS
102414,0.0526315789473684,,,,,,DURANGO,LURASCHI
102429,0.0526315789473684,,,,0.1643350178725502,,CHAMUYERO,SAN PANCRACIO
102433,0.29962247939415465,,,,0.15064762829638864,,SEPTIEMBRE,RIO ELQUI
102435,0.0526315789473684,,,,,,ALACRAN,RIO ELQUI
102477,0.0590718599778133,,,,,,BALTAZAR,RINCONADA DE MAITENES
102483,0.08341907898532397,,,,,,CALICHE,LO ACUÃA
102484,0.08341907898532397,,,,,,NOVICIADO,TRUENO
102501,0.3379009941217588,,0.6372077735321912,,0.1578947368421052,,BARBECHO,CENTINELA EL CARMEN
102552,0.0526315789473684,,,,0.1052631578947368,,PITADOR,PRETENCIOSO
102556,0.0590718599778133,,,,,,JOROPO,EL TRAPITO
102562,0.6377812692830689,,0.3723447964172726,,0.4263835819055836,,CIPRES,ESQUINA MOCHA
102566,0.24431766862479748,,,,1.5859131931793091,,TRONADOR,ATACALCO
102575,1.5073823317074888,,0.8161284358437076,,,,TORNADO,EL TOSCANO
102582,0.1138501992686634,,,,0.15323143925387234,,BUENAZO,MUTICURA
102601,0.0526315789473684,,,,0.1052631578947368,,DON GOYO,GALLO ENTERO
102605,0.0526315789473684,,,,,,DON AUGUSTO,DOÃA REBECA
102609,0.0526315789473684,,,,,,PEÃASCAZO,SAN LORENZO
102640,0.0526315789473684,,,,,,ALBOROTO,MARILOR
102648,0.1643350178725502,,,,,,BARQUERO,PERTIGUERO
102651,0.2738984831665654,,0.13023242044166644,,0.39702808501119713,,INGRATO,CIELO AZUL
102666,0.0526315789473684,,,,0.6149257804933879,0.6222523521919552,ESPERADO,LAS VERONICAS
102680,0.0526315789473684,,,,,,CASI JUSTO,GUIBALEY
102681,0.250257236955972,,,,0.0719524220387033,,MI COMPADRE,GUIBALEY
102682,0.239713437970591,,,,0.20854769746330992,,ENTREDICHO,LOS GOMEROS
102694,0.15064762829638864,,,,0.6560949634363875,,ABANDONADO,LO PRIETO
102699,0.08852288094900446,,,,,,DON TITO,DON RUA
102700,0.382956088011666,,,,0.363757755043346,,COMINO,LAS ISLAS DEL MAULE
102702,3.4507118526735634,,,,1.1005714159294833,,CONTULMO,LICAHUE 2
102705,0.3634200039401615,,0.276038456797732,,0.7953769083129368,,LITRE,TRONGOL
102707,0.4881830208127841,,0.8130459616764869,,0.0526315789473684,,CONSUEGRO,TRONGOL
102722,1.261929707171911,,0.08341907898532397,,0.1772155799334401,,FAROLITO,DE VALENZUELA
102729,0.12512861847798595,,0.2935823164468548,,0.38471433557810125,,BUÃUELO,DE VALENZUELA
102731,0.0526315789473684,,,,,,BANDIDO,PANGUILEMO
102763,0.1052631578947368,,,,,,JUSTICIERO,EL YIRO
102766,0.0526315789473684,,,,0.0526315789473684,,MALAMBO,RIBERAS DEL PUANGUE
102768,0.0590718599778133,,,,,,PACHUCO,REMOLINO MATORRAL
102776,0.15275842729522113,,0.9542178270392249,,1.0053744070137511,,GUARANITO,G.H.G.
